Frame Number;POSIX Timestamp;Detected Objects;Latitude;Longitude
5392;1.738.595.758.338.430;[];36620945;27846214
5393;1.738.595.758.388.430;[];36620945;27846214
5405;1.738.595.758.988.430;[];36620945;27846214
5404;1.738.595.758.938.430;[];36620945;27846214
5403;1.738.595.758.888.430;[];36620945;27846214
5402;1.738.595.758.838.430;[];36620945;27846214
5398;1.738.595.758.638.430;[];36620945;27846214
5399;1.738.595.758.688.430;[];36620945;27846214
5400;1.738.595.758.738.430;[];36620945;27846214
5401;1.738.595.758.788.430;[];36620945;27846214
5397;1.738.595.758.588.430;[];36620945;27846214
5396;1.738.595.758.538.430;[];36620945;27846214
5395;1.738.595.758.488.430;[];36620945;27846214
5394;1.738.595.758.438.430;[];36620945;27846214
5409;1.738.595.759.188.430;[];36620945;27846214
5408;1.738.595.759.138.430;[];36620945;27846214
5407;1.738.595.759.088.430;[];36620945;27846214
5406;1.738.595.759.038.430;[];36620945;27846214
5413;1.738.595.759.388.430;[];36620945;27846214
5412;1.738.595.759.338.430;[];36620945;27846214
5411;1.738.595.759.288.430;[];36620945;27846214
5410;1.738.595.759.238.430;[];36620945;27846214
5425;1.738.595.759.988.430;[];36620945;27846214
5424;1.738.595.759.938.430;[];36620945;27846214
5423;1.738.595.759.888.430;[];36620945;27846214
5422;1.738.595.759.838.430;"[-1.9236249923706055, 29.319286346435547, -9.163209915161133, -0.6997247338294983, 16.400000000000002]";36620945;27846214
5421;1.738.595.759.788.430;[];36620945;27846214
5420;1.738.595.759.738.430;[];36620945;27846214
5419;1.738.595.759.688.430;[];36620945;27846214
5418;1.738.595.759.638.430;"[0.9694458842277527, 29.384424209594727, -9.899336814880371, -0.5997640490531921, 12.600000000000001]";36620945;27846214
5417;1.738.595.759.588.430;[];36620945;27846214
5416;1.738.595.759.538.430;"[-1.9388917684555054, 30.073253631591797, -7.363509178161621, -0.5997640490531921, 15.8]";36620945;27846214
5415;1.738.595.759.488.430;[];36620945;27846214
5414;1.738.595.759.438.430;[];36620945;27846214
5430;1.738.595.760.238.430;[];36620945;27846218
5431;1.738.595.760.288.430;[];36620945;27846218
5432;1.738.595.760.338.430;"[-2.7709360122680664, 27.693838119506836, -9.9483060836792, -0.6997247338294983, 18.5]";36620945;27846218
5433;1.738.595.760.388.430;[];36620945;27846218
5434;1.738.595.760.438.430;[];36620945;27846218
5435;1.738.595.760.488.430;[];36620945;27846218
5436;1.738.595.760.538.430;[];36620945;27846218
5437;1.738.595.760.588.430;[];36620945;27846218
5438;1.738.595.760.638.430;[];36620945;27846218
5439;1.738.595.760.688.430;[];36620945;27846218
5440;1.738.595.760.738.430;[];36620945;27846218
5441;1.738.595.760.788.430;"[-1.8930912017822266, 29.125347137451172, -8.098255157470703, -0.6997247338294983, 14.3]";36620945;27846218
5442;1.738.595.760.838.430;[];36620945;27846218
5443;1.738.595.760.888.430;[];36620945;27846218
5444;1.738.595.760.938.430;[];36620945;27846218
5445;1.738.595.760.988.430;[];36620945;27846218
5429;1.738.595.760.188.430;[];36620945;27846218
5428;1.738.595.760.138.430;[];36620945;27846218
5427;1.738.595.760.088.430;"[-1.8549240827560425, 28.189449310302734, -9.096405029296875, -0.6997247338294983, 15.4]";36620945;27846218
5426;1.738.595.760.038.430;[];36620945;27846218
5446;1.738.595.761.038.430;[];36620945;27846218
5447;1.738.595.761.088.430;[];36620945;27846218
5448;1.738.595.761.138.430;[];36620945;27846218
5449;1.738.595.761.188.430;[];36620945;27846218
5461;1.738.595.761.788.430;[];36620945;27846218
5460;1.738.595.761.738.430;[];36620945;27846218
5459;1.738.595.761.688.430;[];36620945;27846218
5458;1.738.595.761.638.430;[];36620945;27846218
5465;1.738.595.761.988.430;[];36620945;27846218
5464;1.738.595.761.938.430;[];36620945;27846218
5463;1.738.595.761.888.430;[];36620945;27846218
5462;1.738.595.761.838.430;"[-1.7785897254943848, 27.17047691345215, -8.272085189819336, -0.3998427093029022, 18.400000000000002]";36620945;27846218
5450;1.738.595.761.238.430;[];36620945;27846218
5451;1.738.595.761.288.430;[];36620945;27846218
5452;1.738.595.761.338.430;[];36620945;27846218
5453;1.738.595.761.388.430;[];36620945;27846218
5457;1.738.595.761.588.430;[];36620945;27846218
5456;1.738.595.761.538.430;[];36620945;27846218
5455;1.738.595.761.488.430;[];36620945;27846218
5454;1.738.595.761.438.430;[];36620945;27846218
5470;1.738.595.762.238.430;"[-3.54191255569458, 26.64102554321289, -8.977741241455078, -0.4998033940792084, 16.5]";36620941;27846239
5471;1.738.595.762.288.430;[];36620941;27846239
5472;1.738.595.762.338.430;[];36620941;27846239
5473;1.738.595.762.388.430;[];36620941;27846239
5481;1.738.595.762.788.430;"[-2.7136850357055664, 27.17084503173828, -9.604714393615723, -0.4998033940792084, 12.4]";36620941;27846239
5480;1.738.595.762.738.430;"[-1.8091233968734741, 27.31429100036621, -9.408824920654297, -0.5997640490531921, 15.700000000000001]";36620941;27846239
5479;1.738.595.762.688.430;[];36620941;27846239
5478;1.738.595.762.638.430;"[-1.8167568445205688, 27.84103012084961, -8.156684875488281, -0.6997247338294983, 14.100000000000001]";36620941;27846239
5485;1.738.595.762.988.430;"[-1.801490068435669, 27.292152404785156, -9.094329833984375, -0.6997247338294983, 13.9]";36620941;27846239
5484;1.738.595.762.938.430;[];36620941;27846239
5483;1.738.595.762.888.430;"[-3.6182467937469482, 28.23006820678711, -5.276453495025635, -0.4998033940792084, 12.8]";36620941;27846239
5482;1.738.595.762.838.430;[];36620941;27846239
5466;1.738.595.762.038.430;[];36620941;27846239
5467;1.738.595.762.088.430;[];36620941;27846239
5468;1.738.595.762.138.430;[];36620941;27846239
5469;1.738.595.762.188.430;[];36620941;27846239
5477;1.738.595.762.588.430;[];36620941;27846239
5476;1.738.595.762.538.430;[];36620941;27846239
5475;1.738.595.762.488.430;[];36620941;27846239
5474;1.738.595.762.438.430;[];36620941;27846239
5493;1.738.595.763.388.430;"[-2.6793346405029297, 27.927377700805664, -5.447441101074219, -0.5997640490531921, 12.700000000000001]";36620937;27846247
5492;1.738.595.763.338.430;"[-2.587733507156372, 25.85984992980957, -9.2988862991333, -0.4998033940792084, 21.700000000000003]";36620937;27846247
5491;1.738.595.763.288.430;[];36620937;27846247
