Frame Number,POSIX Timestamp,Num Detected Objects,Detected Objects
1006,1731187725.408914,6,"[-1.1602816581726074, 37.00632095336914, -2.7837977409362793, -0.24811427295207977, 14.5], [-1.1640983819961548, 37.07070541381836, -3.472125768661499, -0.24811427295207977, 16.5], [0.0, 37.21780014038086, -3.4055464267730713, -0.24811427295207977, 16.299999237060547], [0.0, 37.08737564086914, 1.7578932046890259, -0.12405713647603989, 13.100000381469727], [-1.1640983819961548, 37.23283386230469, 0.09462075680494308, -0.12405713647603989, 15.100000381469727], [-1.1679151058197021, 37.35304260253906, -0.38525837659835815, -0.12405713647603989, 14.699999809265137]"
1007,1731187725.458914,4,"[0.0, 37.249088287353516, -0.3919493854045868, -0.24811427295207977, 13.800000190734863], [0.0, 37.10248947143555, 1.4032217264175415, -0.12405713647603989, 14.5], [-1.1640983819961548, 37.219627380371094, 0.9961274862289429, -0.12405713647603989, 15.699999809265137], [0.0, 37.33610153198242, 1.6666901111602783, -0.12405713647603989, 14.600000381469727]"
1008,1731187725.508914,0,[]
1009,1731187725.558914,1,"[-1.1679151058197021, 37.35503005981445, 0.012443740852177143, -0.24811427295207977, 14.0]"
1010,1731187725.608914,3,"[-1.1640983819961548, 37.18440628051758, 1.9007880687713623, -0.24811427295207977, 13.899999618530273], [0.0, 37.1678581237793, 3.9131550788879395, -0.24811427295207977, 13.100000381469727], [0.0, 37.1056022644043, 3.2897279262542725, -0.12405713647603989, 14.199999809265137]"
1011,1731187725.658914,0,[]
1012,1731187725.708914,8,"[0.0, 37.90645217895508, -2.425307273864746, -0.37217140197753906, 15.399999618530273], [0.0, 37.984619140625, -3.040266990661621, -0.37217140197753906, 17.0], [1.1946321725845337, 38.07741165161133, -3.17509126663208, -0.37217140197753906, 16.100000381469727], [0.0, 37.125343322753906, -0.5220263004302979, -0.24811427295207977, 14.899999618530273], [0.0, 37.25104522705078, -0.087831050157547, -0.24811427295207977, 14.399999618530273], [0.0, 37.9775390625, -0.6983067393302917, -0.24811427295207977, 16.700000762939453], [0.0, 38.094295501708984, -0.9482115507125854, -0.24811427295207977, 17.799999237060547], [1.1946321725845337, 38.19657897949219, -0.9959107041358948, -0.24811427295207977, 15.899999618530273]"
1013,1731187725.758914,6,"[0.0, 37.00687026977539, 0.023249289020895958, -0.24811427295207977, 15.399999618530273], [-1.1602816581726074, 37.10770034790039, -0.485714316368103, -0.24811427295207977, 16.899999618530273], [1.1602816581726074, 37.102752685546875, 0.7766071557998657, -0.24811427295207977, 16.899999618530273], [0.0, 37.24540328979492, 0.6542502641677856, -0.24811427295207977, 15.699999809265137], [0.0, 37.039695739746094, 2.5738279819488525, -0.12405713647603989, 14.199999809265137], [-1.1640983819961548, 37.167537689208984, 2.2061333656311035, -0.12405713647603989, 12.800000190734863]"
1014,1731187725.808914,6,"[0.0, 37.00687789916992, 0.0, -0.37217140197753906, 14.300000190734863], [0.0, 37.11888122558594, 0.8672683835029602, -0.37217140197753906, 15.600000381469727], [0.0, 37.21098327636719, 1.7293983697891235, -0.37217140197753906, 14.699999809265137], [0.0, 36.95664596557617, 1.927537441253662, -0.24811427295207977, 15.199999809265137], [0.0, 36.987667083740234, 3.2366952896118164, -0.24811427295207977, 16.100000381469727], [0.0, 36.87515640258789, 5.279282093048096, -0.24811427295207977, 14.5]"
1015,1731187725.858914,5,"[0.0, 37.97343826293945, 0.8939725160598755, -0.37217140197753906, 12.800000190734863], [0.0, 38.09160232543945, 1.050868034362793, -0.37217140197753906, 13.699999809265137], [0.0, 37.83951950073242, 1.2994768619537354, -0.24811427295207977, 12.899999618530273], [-1.186998724937439, 37.95852279663086, 0.7230443358421326, -0.24811427295207977, 15.199999809265137], [0.0, 38.045536041259766, 2.1474738121032715, -0.24811427295207977, 14.899999618530273]"
1016,1731187725.908914,11,"[-1.15646493434906, 36.978336334228516, -0.8798648118972778, -0.37217140197753906, 13.699999809265137], [0.0, 37.128753662109375, -0.1385391354560852, -0.37217140197753906, 15.800000190734863], [0.0, 37.24714660644531, -0.5459595322608948, -0.37217140197753906, 15.100000381469727], [0.0, 37.97981262207031, 0.5610830783843994, -0.37217140197753906, 12.800000190734863], [0.0, 38.07254409790039, 1.5987156629562378, -0.37217140197753906, 13.899999618530273], [0.0, 37.00669479370117, -0.11693515628576279, -0.24811427295207977, 14.899999618530273], [0.0, 37.128177642822266, 0.24912069737911224, -0.24811427295207977, 16.899999618530273], [0.0, 37.2397346496582, 0.9220906496047974, -0.24811427295207977, 16.299999237060547], [-1.186998724937439, 37.958492279052734, 0.7246428728103638, -0.24811427295207977, 13.0], [0.0, 38.050193786621094, 2.063293933868408, -0.24811427295207977, 14.0], [-1.1908154487609863, 38.057098388671875, 1.521057367324829, -0.12405713647603989, 12.800000190734863]"
1017,1731187725.958914,6,"[0.0, 37.84703826904297, -1.0580450296401978, -0.37217140197753906, 14.600000381469727], [0.0, 37.96339416503906, -1.2497488260269165, -0.37217140197753906, 17.600000381469727], [0.0, 38.08076858520508, -1.3891072273254395, -0.37217140197753906, 17.899999618530273], [0.0, 38.20713806152344, -1.2696468830108643, -0.37217140197753906, 15.800000190734863], [0.0, 37.97733688354492, 0.7091548442840576, -0.24811427295207977, 14.899999618530273], [0.0, 38.10588073730469, 0.1280115693807602, -0.24811427295207977, 15.199999809265137]"
1018,1731187726.008914,0,[]
1019,1731187726.058914,0,[]
1020,1731187726.108914,1,"[0.0, 37.9766960144043, 0.7426820397377014, -0.37217140197753906, 12.899999618530273]"
1021,1731187726.158914,5,"[0.0, 37.00686264038086, 0.03485095128417015, -0.37217140197753906, 14.399999618530273], [0.0, 37.11442184448242, -1.0408793687820435, -0.37217140197753906, 14.600000381469727], [-1.15646493434906, 36.988704681396484, 0.08548635989427567, -0.24811427295207977, 15.300000190734863], [-1.1602816581726074, 37.10124588012695, -0.8454222679138184, -0.24811427295207977, 15.399999618530273], [-1.1640983819961548, 37.193355560302734, -1.716744065284729, -0.24811427295207977, 12.899999618530273]"
1022,1731187726.208914,6,"[0.0, 37.98363494873047, 0.15701285004615784, -0.49622854590415955, 14.100000381469727], [-1.15646493434906, 36.979637145996094, 0.8234274387359619, -0.37217140197753906, 13.600000381469727], [0.0, 37.11018753051758, 1.182131052017212, -0.37217140197753906, 13.600000381469727], [0.0, 37.945194244384766, 1.7156304121017456, -0.37217140197753906, 14.699999809265137], [0.0, 38.08738708496094, 1.1939010620117188, -0.37217140197753906, 14.600000381469727], [-1.1946321725845337, 38.20880126953125, -0.2407437413930893, -0.37217140197753906, 12.699999809265137]"
1023,1731187726.258914,0,[]
1024,1731187726.308914,2,"[0.0, 37.62294387817383, 4.246386528015137, -0.37217140197753906, 14.100000381469727], [0.0, 37.61764907836914, 5.262467384338379, -0.37217140197753906, 14.100000381469727]"
1025,1731187726.358914,6,"[0.0, 36.88288116455078, -0.370993047952652, -0.37217140197753906, 14.800000190734863], [0.0, 37.003204345703125, -0.521415650844574, -0.37217140197753906, 16.299999237060547], [-1.1602816581726074, 37.09154510498047, -1.197776436805725, -0.37217140197753906, 15.399999618530273], [-1.1526483297348022, 36.86526870727539, 0.32852303981781006, -0.24811427295207977, 14.399999618530273], [-1.15646493434906, 36.98817443847656, 0.21560730040073395, -0.24811427295207977, 15.600000381469727], [-2.320563316345215, 37.05607986450195, -0.15955325961112976, -0.24811427295207977, 14.600000381469727]"
1026,1731187726.408914,0,[]
1027,1731187726.458914,7,"[0.0, 36.990325927734375, -1.1067379713058472, -0.37217140197753906, 13.5], [0.0, 37.85314178466797, 0.8107748627662659, -0.37217140197753906, 14.399999618530273], [0.0, 37.96288299560547, 1.2652075290679932, -0.37217140197753906, 15.0], [-1.1908154487609863, 38.08266067504883, 0.605968177318573, -0.37217140197753906, 13.300000190734863], [0.0, 36.884727478027344, 0.03824344277381897, -0.24811427295207977, 13.800000190734863], [0.0, 36.99905776977539, 0.7607730031013489, -0.24811427295207977, 15.800000190734863], [0.0, 37.08760452270508, 1.7530173063278198, -0.24811427295207977, 15.5]"
1028,1731187726.508914,0,[]
1029,1731187726.558914,6,"[0.0, 36.75551986694336, -0.7220829725265503, -0.37217140197753906, 14.800000190734863], [0.0, 36.879791259765625, -0.6046596765518188, -0.37217140197753906, 17.5], [0.0, 36.99277114868164, -1.0217477083206177, -0.37217140197753906, 17.600000381469727], [0.0, 37.127464294433594, -0.3393423557281494, -0.37217140197753906, 15.300000190734863], [0.0, 36.867801666259766, 1.1178596019744873, -0.24811427295207977, 14.100000381469727], [-1.15646493434906, 36.986961364746094, 0.36917176842689514, -0.24811427295207977, 14.300000190734863]"
1030,1731187726.608914,2,"[0.0, 37.50906753540039, 4.165791988372803, -0.24811427295207977, 13.0], [0.0, 37.58049774169922, 4.6069183349609375, -0.24811427295207977, 13.0]"
1031,1731187726.658914,3,"[0.0, 37.73164749145508, 0.7789658308029175, -0.37217140197753906, 14.800000190734863], [0.0, 37.84605407714844, 1.0926141738891602, -0.37217140197753906, 15.199999809265137], [0.0, 37.92698287963867, 2.079667568206787, -0.37217140197753906, 13.300000190734863]"
1032,1731187726.708914,0,[]
1033,1731187726.758914,0,[]
1034,1731187726.808914,0,[]
1035,1731187726.858914,3,"[0.0, 36.79902267456055, -2.5132391452789307, -0.37217140197753906, 14.699999809265137], [0.0, 36.87907028198242, 0.6470483541488647, -0.24811427295207977, 14.0], [0.0, 36.99809646606445, 0.8062151670455933, -0.24811427295207977, 13.199999809265137]"
1036,1731187726.908914,0,[]
1037,1731187726.958914,0,[]
1038,1731187727.008914,0,[]
1039,1731187727.058914,0,[]
1040,1731187727.108914,0,[]
1041,1731187727.158914,2,"[0.0, 36.72357940673828, -1.693615198135376, -0.24811427295207977, 13.899999618530273], [0.0, 36.85706329345703, -1.4288268089294434, -0.24811427295207977, 14.100000381469727]"
1042,1731187727.208914,0,[]
1043,1731187727.258914,0,[]
1044,1731187727.308914,0,[]
1045,1731187727.358914,3,"[0.0, 36.634220123291016, 0.6770495772361755, -0.24811427295207977, 13.5], [0.0, 36.76253890991211, 0.07232233136892319, -0.24811427295207977, 15.199999809265137], [0.0, 36.882076263427734, 0.44381090998649597, -0.24811427295207977, 14.199999809265137]"
1046,1731187727.408914,1,"[-1.1488316059112549, 36.717864990234375, 1.4028985500335693, -0.24811427295207977, 12.699999809265137]"
1047,1731187727.458914,0,[]
1048,1731187727.508914,0,[]
1049,1731187727.558914,5,"[0.0, 36.640174865722656, 0.14880245923995972, -0.24811427295207977, 15.399999618530273], [-1.1488316059112549, 36.740577697753906, -0.5475296974182129, -0.24811427295207977, 16.100000381469727], [-1.1526483297348022, 36.86220169067383, -0.5778450965881348, -0.24811427295207977, 14.5], [0.0, 36.51880645751953, 2.98350191116333, -0.12405713647603989, 13.100000381469727], [-1.1488316059112549, 36.645713806152344, 2.694690227508545, -0.12405713647603989, 13.300000190734863]"
1050,1731187727.608914,1,"[0.0, 36.611759185791016, -1.4503555297851562, -0.24811427295207977, 13.100000381469727]"
1051,1731187727.658914,5,"[0.0, 37.49440002441406, 0.2761501371860504, -0.24811427295207977, 12.800000190734863], [0.0, 37.60614776611328, 0.9262272119522095, -0.24811427295207977, 14.199999809265137], [1.1793652772903442, 37.71472930908203, 0.7016147375106812, -0.24811427295207977, 13.100000381469727], [0.0, 37.48691177368164, 0.7985588908195496, -0.12405713647603989, 13.100000381469727], [0.0, 37.58700180053711, 1.5158190727233887, -0.12405713647603989, 13.199999809265137]"
1052,1731187727.708914,0,[]
1053,1731187727.758914,8,"[0.0, 36.46709442138672, -1.9339685440063477, -0.37217140197753906, 14.5], [0.0, 36.61330032348633, -1.410975694656372, -0.37217140197753906, 16.399999618530273], [0.0, 36.7309455871582, -1.5255329608917236, -0.37217140197753906, 15.5], [0.0, 36.5172004699707, 0.28881508111953735, -0.24811427295207977, 16.700000762939453], [0.0, 36.63900375366211, 0.32865622639656067, -0.24811427295207977, 18.799999237060547], [0.0, 36.76093292236328, 0.35150647163391113, -0.24811427295207977, 18.200000762939453], [0.0, 36.87359619140625, 0.906847357749939, -0.24811427295207977, 14.300000190734863], [0.0, 36.57145309448242, 2.24798321723938, -0.12405713647603989, 15.699999809265137]"
1054,1731187727.808914,5,"[0.0, 37.19915008544922, -3.603545904159546, -0.24811427295207977, 12.800000190734863], [0.0, 37.34092712402344, -3.400218963623047, -0.24811427295207977, 14.0], [0.0, 37.46461868286133, -3.388597011566162, -0.24811427295207977, 13.399999618530273], [0.0, 37.49111557006836, -0.5679121017456055, -0.12405713647603989, 14.300000190734863], [0.0, 37.6174201965332, 0.10000863671302795, -0.12405713647603989, 13.600000381469727]"
1055,1731187727.858914,4,"[0.0, 36.505550384521484, 0.9664461016654968, -0.24811427295207977, 13.899999618530273], [0.0, 36.63587188720703, 0.5808252692222595, -0.24811427295207977, 14.300000190734863], [-1.1411981582641602, 36.47390365600586, 1.3932809829711914, -0.12405713647603989, 13.0], [0.0, 36.57281494140625, 2.225667953491211, -0.12405713647603989, 13.800000190734863]"
1056,1731187727.908914,7,"[-1.1373814344406128, 36.31854248046875, -2.0865402221679688, -0.24811427295207977, 13.5], [-1.1411981582641602, 36.451393127441406, -1.8928114175796509, -0.24811427295207977, 17.0], [-1.1450148820877075, 36.546695709228516, -2.3563671112060547, -0.24811427295207977, 18.0], [0.0, 36.693389892578125, -2.2549655437469482, -0.24811427295207977, 16.700000762939453], [0.0, 36.51307678222656, -0.619971513748169, -0.12405713647603989, 14.800000190734863], [-1.1450148820877075, 36.59046173095703, -1.533466100692749, -0.12405713647603989, 15.600000381469727], [-1.1488316059112549, 36.71873092651367, -1.380113124847412, -0.12405713647603989, 14.5]"
1057,1731187727.958914,7,"[0.0, 36.39487838745117, -0.31121164560317993, -0.24811427295207977, 13.600000381469727], [0.0, 36.51689147949219, 0.32530146837234497, -0.24811427295207977, 16.299999237060547], [0.0, 36.63716506958008, 0.49251094460487366, -0.24811427295207977, 16.799999237060547], [0.0, 36.734336853027344, 1.4416306018829346, -0.24811427295207977, 14.600000381469727], [0.0, 36.24131774902344, 4.48954439163208, -0.12405713647603989, 14.0], [0.0, 36.34149932861328, 4.671195983886719, -0.12405713647603989, 15.100000381469727], [0.0, 36.3787956237793, 5.298369884490967, -0.12405713647603989, 13.800000190734863]"
1058,1731187728.008914,9,"[0.0, 36.54417419433594, -2.6547837257385254, -0.37217140197753906, 15.800000190734863], [0.0, 36.393245697021484, -0.4641944169998169, -0.24811427295207977, 17.399999618530273], [0.0, 36.5178108215332, 0.1966780722141266, -0.24811427295207977, 20.5], [0.0, 36.63972091674805, 0.23536041378974915, -0.24811427295207977, 21.0], [0.0, 36.756202697753906, 0.6863343119621277, -0.24811427295207977, 18.700000762939453], [0.0, 36.3064079284668, 2.555123805999756, -0.12405713647603989, 16.0], [0.0, 36.40516662597656, 2.8728134632110596, -0.12405713647603989, 19.200000762939453], [0.0, 36.4990234375, 3.2164688110351562, -0.12405713647603989, 19.700000762939453], [0.0, 36.58326721191406, 3.6268692016601562, -0.12405713647603989, 17.5]"
1059,1731187728.058914,0,[]
1060,1731187728.108914,6,"[0.0, 36.51789474487305, 0.18058665096759796, -0.24811427295207977, 13.5], [-1.1450148820877075, 36.6186408996582, -0.5372310876846313, -0.24811427295207977, 13.300000190734863], [-1.1373814344406128, 36.338722229003906, 1.6992628574371338, -0.12405713647603989, 13.800000190734863], [0.0, 36.41315841674805, 2.7696807384490967, -0.12405713647603989, 16.200000762939453], [0.0, 36.509376525878906, 3.0967695713043213, -0.12405713647603989, 16.100000381469727], [0.0, 36.53667449951172, 4.069535255432129, -0.12405713647603989, 13.300000190734863]"
1061,1731187728.158914,0,[]
1062,1731187728.208914,0,[]
1063,1731187728.258914,0,[]
1064,1731187728.308914,0,[]
1065,1731187728.358914,0,[]
1066,1731187728.408914,0,[]
1067,1731187728.458914,8,"[0.0, 36.38233184814453, -1.0048872232437134, -0.24811427295207977, 14.899999618530273], [0.0, 36.483123779296875, -1.6034572124481201, -0.24811427295207977, 16.299999237060547], [1.1450148820877075, 36.60436248779297, -1.1550724506378174, -0.24811427295207977, 15.0], [-1.1450148820877075, 36.549015045166016, -2.3201277256011963, -0.24811427295207977, 15.0], [0.0, 36.511131286621094, -0.7255655527114868, -0.12405713647603989, 13.199999809265137], [-1.1679151058197021, 37.32622146606445, 1.4667878150939941, -0.12405713647603989, 13.800000190734863], [-1.1717318296432495, 37.45243835449219, 1.359501838684082, -0.12405713647603989, 14.699999809265137], [-1.1755485534667969, 37.57532501220703, 1.3391281366348267, -0.12405713647603989, 13.100000381469727]"
1068,1731187728.508914,6,"[-1.1373814344406128, 36.36785125732422, -0.8773048520088196, -0.24811427295207977, 14.300000190734863], [0.0, 36.513816833496094, -0.5747029781341553, -0.24811427295207977, 15.399999618530273], [0.0, 36.64031219482422, -0.10955552011728287, -0.24811427295207977, 14.199999809265137], [-1.1373814344406128, 36.372161865234375, 0.6753937005996704, -0.12405713647603989, 15.100000381469727], [0.0, 36.437747955322266, 2.424792528152466, -0.12405713647603989, 15.800000190734863], [0.0, 36.516849517822266, 3.007373094558716, -0.12405713647603989, 14.199999809265137]"
1069,1731187728.558914,4,"[0.0, 36.3785285949707, -1.1342017650604248, -0.24811427295207977, 14.100000381469727], [0.0, 36.506473541259766, -0.9309621453285217, -0.24811427295207977, 14.399999618530273], [0.0, 36.395477294921875, -0.2305222600698471, -0.12405713647603989, 15.100000381469727], [0.0, 36.51234436035156, -0.6618003249168396, -0.12405713647603989, 15.5]"
1070,1731187728.608914,3,"[0.0, 36.31709671020508, 2.3984086513519287, -0.24811427295207977, 14.399999618530273], [-1.1411981582641602, 36.46593475341797, 1.5882829427719116, -0.24811427295207977, 16.0], [0.0, 36.526641845703125, 2.885974645614624, -0.24811427295207977, 15.300000190734863]"
1071,1731187728.658914,5,"[-1.1335647106170654, 36.215641021728516, -1.717716097831726, -0.24811427295207977, 12.899999618530273], [-1.1373814344406128, 36.35721969604492, -1.2421077489852905, -0.24811427295207977, 15.699999809265137], [0.0, 36.51777648925781, -0.20269522070884705, -0.24811427295207977, 16.399999618530273], [-1.1450148820877075, 36.61209487915039, -0.8763502836227417, -0.24811427295207977, 15.199999809265137], [-2.2823963165283203, 36.44609832763672, 0.24886874854564667, -0.12405713647603989, 13.5]"
1072,1731187728.708914,0,[]
1073,1731187728.758914,2,"[0.0, 35.968292236328125, 5.564693927764893, -0.24811427295207977, 13.300000190734863], [0.0, 35.82740020751953, 7.070131301879883, -0.24811427295207977, 13.699999809265137]"
1074,1731187728.808914,2,"[-1.1679151058197021, 37.35501480102539, 0.03571955859661102, -0.24811427295207977, 13.100000381469727], [-1.1679151058197021, 37.34557342529297, 0.840518057346344, -0.12405713647603989, 12.800000190734863]"
1075,1731187728.858914,2,"[0.0, 36.38789749145508, 0.7776716947555542, -0.24811427295207977, 13.600000381469727], [0.0, 36.518157958984375, 0.11520087718963623, -0.24811427295207977, 13.699999809265137]"
1076,1731187728.908914,6,"[-2.267129421234131, 36.17143630981445, 1.5151211023330688, -0.24811427295207977, 13.800000190734863], [-1.1373814344406128, 36.3437385559082, 1.5883333683013916, -0.24811427295207977, 16.100000381469727], [-1.1411981582641602, 36.49285125732422, 0.7475132346153259, -0.24811427295207977, 15.699999809265137], [-2.290029764175415, 36.566219329833984, -0.43808794021606445, -0.24811427295207977, 12.899999618530273], [-3.412144184112549, 36.176090240478516, 2.0812723636627197, -0.12405713647603989, 14.199999809265137], [-2.2823963165283203, 36.422218322753906, 1.3422815799713135, -0.12405713647603989, 14.300000190734863]"
1077,1731187728.958914,0,[]
1078,1731187729.008914,9,"[0.0, 36.101707458496094, -1.9050025939941406, -0.24811427295207977, 14.5], [-1.1335647106170654, 36.25188064575195, -0.5697534084320068, -0.24811427295207977, 17.600000381469727], [0.0, 36.3931999206543, 0.4678686261177063, -0.24811427295207977, 18.700000762939453], [0.0, 36.50458908081055, 1.0020663738250732, -0.24811427295207977, 17.399999618530273], [0.0, 36.5880012512207, 1.960296630859375, -0.24811427295207977, 13.100000381469727], [-1.1335647106170654, 36.25578689575195, 0.20290988683700562, -0.12405713647603989, 15.800000190734863], [0.0, 36.36930465698242, 1.3991374969482422, -0.12405713647603989, 17.5], [-1.1411981582641602, 36.484031677246094, 1.0965051651000977, -0.12405713647603989, 17.100000381469727], [0.0, 36.592437744140625, 1.8756107091903687, -0.12405713647603989, 13.699999809265137]"
1079,1731187729.058914,5,"[0.0, 37.24803924560547, 0.4813709259033203, -0.37217140197753906, 14.100000381469727], [0.0, 37.370941162109375, 0.41846492886543274, -0.37217140197753906, 13.800000190734863], [0.0, 37.210968017578125, 1.7296758890151978, -0.24811427295207977, 13.5], [0.0, 37.34432601928711, 1.4708985090255737, -0.24811427295207977, 13.0], [0.0, 36.375919342041016, 1.2150278091430664, -0.12405713647603989, 12.800000190734863]"
1080,1731187729.108914,0,[]
1081,1731187729.158914,0,[]
1082,1731187729.208914,0,[]
1083,1731187729.258914,0,[]
1084,1731187729.308914,0,[]
1085,1731187729.358914,4,"[0.0, 36.24460983276367, 1.4616827964782715, -0.24811427295207977, 13.100000381469727], [0.0, 36.36548614501953, 1.4950770139694214, -0.24811427295207977, 13.300000190734863], [0.0, 36.1972770690918, 2.359111785888672, -0.12405713647603989, 14.199999809265137], [0.0, 36.354530334472656, 1.7412688732147217, -0.12405713647603989, 14.5]"
1086,1731187729.408914,7,"[0.0, 37.22445297241211, -1.410007119178772, -0.37217140197753906, 14.300000190734863], [0.0, 37.36701965332031, -0.684182345867157, -0.37217140197753906, 14.100000381469727], [-1.1602816581726074, 37.10529708862305, -0.6435484290122986, -0.24811427295207977, 13.100000381469727], [0.0, 37.25114059448242, -0.026526596397161484, -0.24811427295207977, 14.899999618530273], [0.0, 37.372798919677734, 0.19015534222126007, -0.24811427295207977, 14.5], [0.0, 37.11119079589844, 1.1502348184585571, -0.12405713647603989, 13.600000381469727], [-1.1640983819961548, 37.23171615600586, 0.30397820472717285, -0.12405713647603989, 14.0]"
1087,1731187729.458914,4,"[0.0, 37.091121673583984, 1.6770148277282715, -0.37217140197753906, 12.899999618530273], [0.0, 37.127994537353516, 3.0265471935272217, -0.37217140197753906, 14.199999809265137], [0.0, 37.092498779296875, 4.572632789611816, -0.37217140197753906, 13.300000190734863], [0.0, 35.41941452026367, 7.827728748321533, -0.24811427295207977, 13.800000190734863]"
