Timestamp,Latitude,Longitude
5/2/2025 20:56,36.899.662,27.306.829
5/2/2025 20:57,36.899.654,27.306.751
5/2/2025 20:57,36.899.647,27.306.650
5/2/2025 20:57,36.899.643,27.306.551
5/2/2025 20:57,36.899.643,27.306.551
5/2/2025 20:57,36.899.628,27.306.263
5/2/2025 20:57,36.899.624,27.306.158
5/2/2025 20:57,36.899.616,27.306.076
5/2/2025 20:57,36.899.609,27.305.988
5/2/2025 20:57,36.899.609,27.305.988
5/2/2025 20:57,36.899.586,27.305.710
5/2/2025 20:57,36.899.578,27.305.626
5/2/2025 20:57,36.899.570,27.305.544
5/2/2025 20:57,36.899.570,27.305.544
5/2/2025 20:57,36.899.570,27.305.544
5/2/2025 20:57,36.899.551,27.305.202
5/2/2025 20:57,36.899.544,27.305.120
5/2/2025 20:57,36.899.536,27.305.035
5/2/2025 20:57,36.899.536,27.305.035
5/2/2025 20:57,36.899.525,27.304.789
5/2/2025 20:57,36.899.529,27.304.680
5/2/2025 20:57,36.899.525,27.304.609
5/2/2025 20:57,36.899.521,27.304.531
5/2/2025 20:57,36.899.521,27.304.531
5/2/2025 20:57,36.899.502,27.304.268
5/2/2025 20:57,36.899.498,27.304.176
5/2/2025 20:57,36.899.490,27.304.083
5/2/2025 20:57,36.899.487,27.303.997
5/2/2025 20:57,36.899.487,27.303.997
5/2/2025 20:57,36.899.475,27.303.772
5/2/2025 20:57,36.899.479,27.303.696
5/2/2025 20:57,36.899.471,27.303.619
5/2/2025 20:57,36.899.471,27.303.539
5/2/2025 20:57,36.899.471,27.303.539
5/2/2025 20:57,36.899.464,27.303.308
5/2/2025 20:57,36.899.460,27.303.226
5/2/2025 20:57,36.899.460,27.303.154
5/2/2025 20:57,36.899.452,27.303.072
5/2/2025 20:57,36.899.452,27.303.072
5/2/2025 20:57,36.899.433,27.302.851
5/2/2025 20:57,36.899.429,27.302.774
5/2/2025 20:57,36.899.422,27.302.692
5/2/2025 20:57,36.899.414,27.302.610
5/2/2025 20:57,36.899.414,27.302.610
5/2/2025 20:57,36.899.391,27.302.370
5/2/2025 20:57,36.899.387,27.302.303
5/2/2025 20:57,36.899.384,27.302.229
5/2/2025 20:57,36.899.376,27.302.153
5/2/2025 20:57,36.899.357,27.302.000
5/2/2025 20:57,36.899.349,27.301.922
5/2/2025 20:58,36.899.345,27.301.842
5/2/2025 20:58,36.899.338,27.301.762
5/2/2025 20:58,36.899.338,27.301.762
5/2/2025 20:58,36.899.319,27.301.527
5/2/2025 20:58,36.899.311,27.301.449
5/2/2025 20:58,36.899.300,27.301.369
5/2/2025 20:58,36.899.292,27.301.289
5/2/2025 20:58,36.899.292,27.301.289
5/2/2025 20:58,36.899.269,27.301.056
5/2/2025 20:58,36.899.261,27.300.980
5/2/2025 20:58,36.899.254,27.300.903
5/2/2025 20:58,36.899.246,27.300.829
5/2/2025 20:58,36.899.246,27.300.829
5/2/2025 20:58,36.899.227,27.300.613
5/2/2025 20:58,36.899.220,27.300.535
5/2/2025 20:58,36.899.216,27.300.463
5/2/2025 20:58,36.899.208,27.300.390
5/2/2025 20:58,36.899.208,27.300.390
