Frame Number,POSIX Timestamp,Num Detected Objects,Detected Objects
1003,1731187725.258914,5,"[0.0, 37.226505279541016, -1.3547601699829102, -0.24811427295207977, 14.800000190734863], [0.0, 37.372928619384766, -0.16295261681079865, -0.24811427295207977, 14.5], [-1.1946321725845337, 38.207794189453125, -0.36741113662719727, -0.24811427295207977, 12.699999809265137], [0.0, 37.216129302978516, 1.614845871925354, -0.12405713647603989, 14.199999809265137], [-1.1679151058197021, 37.319149017333984, 1.6368757486343384, -0.12405713647603989, 14.0]"
1004,1731187725.308914,7,"[0.0, 37.10685348510742, 1.2825634479522705, -0.24811427295207977, 13.100000381469727], [-1.1640983819961548, 37.220157623291016, 0.9760657548904419, -0.24811427295207977, 16.200000762939453], [0.0, 37.29603576660156, 2.4016776084899902, -0.24811427295207977, 16.5], [0.0, 37.299747467041016, 3.825598955154419, -0.24811427295207977, 13.899999618530273], [-1.1602816581726074, 37.06392288208008, 1.8662630319595337, -0.12405713647603989, 14.600000381469727], [0.0, 37.125465393066406, 3.0574278831481934, -0.12405713647603989, 16.799999237060547], [-1.1679151058197021, 37.2492561340332, 2.8091423511505127, -0.12405713647603989, 16.200000762939453]"
1005,1731187725.358914,6,"[0.0, 37.12385177612305, -0.619131326675415, -0.24811427295207977, 13.899999618530273], [0.0, 37.249629974365234, -0.336473673582077, -0.24811427295207977, 15.800000190734863], [0.0, 37.36774826049805, 0.6432636976242065, -0.24811427295207977, 15.399999618530273], [-1.1602816581726074, 37.08127212524414, 1.4820557832717896, -0.12405713647603989, 14.0], [0.0, 37.098243713378906, 3.371690034866333, -0.12405713647603989, 15.600000381469727], [0.0, 37.18475341796875, 3.7492005825042725, -0.12405713647603989, 15.0]"
1006,1731187725.408914,6,"[-1.1602816581726074, 37.00632095336914, -2.7837977409362793, -0.24811427295207977, 14.5], [-1.1640983819961548, 37.07070541381836, -3.472125768661499, -0.24811427295207977, 16.5], [0.0, 37.21780014038086, -3.4055464267730713, -0.24811427295207977, 16.299999237060547], [0.0, 37.08737564086914, 1.7578932046890259, -0.12405713647603989, 13.100000381469727], [-1.1640983819961548, 37.23283386230469, 0.09462075680494308, -0.12405713647603989, 15.100000381469727], [-1.1679151058197021, 37.35304260253906, -0.38525837659835815, -0.12405713647603989, 14.699999809265137]"
1007,1731187725.458914,4,"[0.0, 37.249088287353516, -0.3919493854045868, -0.24811427295207977, 13.800000190734863], [0.0, 37.10248947143555, 1.4032217264175415, -0.12405713647603989, 14.5], [-1.1640983819961548, 37.219627380371094, 0.9961274862289429, -0.12405713647603989, 15.699999809265137], [0.0, 37.33610153198242, 1.6666901111602783, -0.12405713647603989, 14.600000381469727]"
1008,1731187725.508914,0,[]
1009,1731187725.558914,1,"[-1.1679151058197021, 37.35503005981445, 0.012443740852177143, -0.24811427295207977, 14.0]"
1010,1731187725.608914,3,"[-1.1640983819961548, 37.18440628051758, 1.9007880687713623, -0.24811427295207977, 13.899999618530273], [0.0, 37.1678581237793, 3.9131550788879395, -0.24811427295207977, 13.100000381469727], [0.0, 37.1056022644043, 3.2897279262542725, -0.12405713647603989, 14.199999809265137]"
1011,1731187725.658914,0,[]
1012,1731187725.708914,8,"[0.0, 37.90645217895508, -2.425307273864746, -0.37217140197753906, 15.399999618530273], [0.0, 37.984619140625, -3.040266990661621, -0.37217140197753906, 17.0], [1.1946321725845337, 38.07741165161133, -3.17509126663208, -0.37217140197753906, 16.100000381469727], [0.0, 37.125343322753906, -0.5220263004302979, -0.24811427295207977, 14.899999618530273], [0.0, 37.25104522705078, -0.087831050157547, -0.24811427295207977, 14.399999618530273], [0.0, 37.9775390625, -0.6983067393302917, -0.24811427295207977, 16.700000762939453], [0.0, 38.094295501708984, -0.9482115507125854, -0.24811427295207977, 17.799999237060547], [1.1946321725845337, 38.19657897949219, -0.9959107041358948, -0.24811427295207977, 15.899999618530273]"
